NR,N_ANSWERS,TASK_LENGTH,TASK_CATEGORY,DISTRACTOR,DISTRACTOR_LENGTH,TARGET_CATEGORY
1,4,4,ZWIERZETA,TRUE,5,MEBLE
2,4,5,ZWIERZETA,TRUE,4,DRZEWA
3,4,6,ZWIERZETA,TRUE,7,CIALO
4,4,7,ZWIERZETA,TRUE,6,JEDZENIE
5,4,4,MEBLE,TRUE,5,DRZEWA
6,4,5,MEBLE,TRUE,4,CIALO
7,4,6,MEBLE,TRUE,7,JEDZENIE
8,4,7,MEBLE,TRUE,6,ZWIERZETA
9,4,4,CIALO,TRUE,5,JEDZENIE
10,4,5,CIALO,TRUE,4,ZWIERZETA
11,4,6,CIALO,TRUE,7,DRZEWA
12,4,7,CIALO,TRUE,6,MEBLE
13,4,4,JEDZENIE,TRUE,5,ZWIERZETA
14,4,5,JEDZENIE,TRUE,4,DRZEWA
15,4,6,JEDZENIE,TRUE,7,MEBLE
16,4,7,JEDZENIE,TRUE,6,CIALO
17,4,4,DRZEWA,TRUE,5,MEBLE
18,4,5,DRZEWA,TRUE,4,CIALO
19,4,6,DRZEWA,TRUE,7,JEDZENIE
20,4,7,DRZEWA,TRUE,6,ZWIERZETA
21,4,4,,TRUE,5,
22,4,5,,TRUE,4,
23,4,6,,TRUE,7,
24,4,7,,TRUE,6,
25,4,4,,TRUE,5,
26,4,5,,TRUE,4,
27,4,6,,TRUE,7,
28,4,7,,TRUE,6,
29,4,5,,TRUE,4,
30,4,6,,TRUE,7,
31,4,4,ZWIERZETA,FALSE,5,
32,4,5,MEBLE,FALSE,4,
33,4,6,ZWIERZETA,FALSE,7,
34,4,7,MEBLE,FALSE,6,
35,4,4,CIALO,FALSE,5,
36,4,5,JEDZENIE,FALSE,4,
37,4,6,CIALO,FALSE,7,
38,4,7,JEDZENIE,FALSE,6,
39,4,4,DRZEWA,FALSE,5,
40,4,5,DRZEWA,FALSE,4,
