NR,N_ANSWERS,TASK_LENGTH,TASK_CATEGORY,DISTRACTOR,DISTRACTOR_CATEGORY
1,4,4,ZWIERZETA,FALSE,
2,4,5,ZWIERZETA,FALSE,
3,4,6,ZWIERZETA,FALSE,
4,4,7,ZWIERZETA,FALSE,
5,4,4,ZWIERZETA,TRUE,
6,4,5,ZWIERZETA,TRUE,
7,4,6,ZWIERZETA,TRUE,
8,4,7,ZWIERZETA,TRUE,
9,4,4,ZWIERZETA,TRUE,
10,4,5,ZWIERZETA,TRUE,
11,4,6,CIALO,FALSE,
12,4,7,CIALO,FALSE,
13,4,4,CIALO,FALSE,
14,4,5,CIALO,FALSE,
15,4,6,CIALO,TRUE,
16,4,7,CIALO,TRUE,
17,4,4,CIALO,TRUE,
18,4,5,CIALO,TRUE,
19,4,6,CIALO,TRUE,
20,4,7,CIALO,TRUE,
21,4,4,MEBLE,FALSE,
22,4,5,MEBLE,FALSE,
23,4,6,MEBLE,FALSE,
24,4,7,MEBLE,FALSE,
25,4,4,MEBLE,TRUE,
26,4,5,MEBLE,TRUE,
27,4,6,MEBLE,TRUE,
28,4,7,MEBLE,TRUE,
29,4,5,MEBLE,TRUE,
30,4,6,MEBLE,TRUE,
31,4,4,DRZEWA,FALSE,
32,4,5,DRZEWA,FALSE,
33,4,6,DRZEWA,FALSE,
34,4,7,DRZEWA,FALSE,
35,4,4,DRZEWA,TRUE,
36,4,5,DRZEWA,TRUE,
37,4,6,DRZEWA,TRUE,
38,4,7,DRZEWA,TRUE,
39,4,4,DRZEWA,TRUE,
40,4,5,DRZEWA,TRUE,
41,4,6,JEDZENIE,FALSE,
42,4,7,JEDZENIE,FALSE,
43,4,4,JEDZENIE,FALSE,
44,4,5,JEDZENIE,FALSE,
45,4,6,JEDZENIE,TRUE,
46,4,7,JEDZENIE,TRUE,
47,4,4,JEDZENIE,TRUE,
48,4,5,JEDZENIE,TRUE,
49,4,6,JEDZENIE,TRUE,
50,4,7,JEDZENIE,TRUE,
